question_id,distractor_index,condition,rr,recall_1,recall_3,recall_5,ndcg_5
0,1,question_only,1.0,1.0,1.0,1.0,1.0
0,1,wrong_answer_conditioned,1.0,1.0,1.0,1.0,1.0
0,1,oracle_corrective,1.0,1.0,1.0,1.0,1.0
0,2,question_only,1.0,1.0,1.0,1.0,1.0
0,2,wrong_answer_conditioned,1.0,1.0,1.0,1.0,1.0
0,2,oracle_corrective,1.0,1.0,1.0,1.0,1.0
0,3,question_only,1.0,1.0,1.0,1.0,1.0
0,3,wrong_answer_conditioned,1.0,1.0,1.0,1.0,1.0
0,3,oracle_corrective,1.0,1.0,1.0,1.0,1.0
1,1,question_only,1.0,1.0,1.0,1.0,1.0
1,1,wrong_answer_conditioned,1.0,1.0,1.0,1.0,1.0
1,1,oracle_corrective,1.0,1.0,1.0,1.0,1.0
1,2,question_only,1.0,1.0,1.0,1.0,1.0
1,2,wrong_answer_conditioned,1.0,1.0,1.0,1.0,1.0
1,2,oracle_corrective,1.0,1.0,1.0,1.0,1.0
1,3,question_only,1.0,1.0,1.0,1.0,1.0
1,3,wrong_answer_conditioned,1.0,1.0,1.0,1.0,1.0
1,3,oracle_corrective,1.0,1.0,1.0,1.0,1.0
2,1,question_only,1.0,1.0,1.0,1.0,1.0
2,1,wrong_answer_conditioned,1.0,1.0,1.0,1.0,1.0
2,1,oracle_corrective,1.0,1.0,1.0,1.0,1.0
2,2,question_only,1.0,1.0,1.0,1.0,1.0
2,2,wrong_answer_conditioned,1.0,1.0,1.0,1.0,1.0
2,2,oracle_corrective,1.0,1.0,1.0,1.0,1.0
2,3,question_only,1.0,1.0,1.0,1.0,1.0
2,3,wrong_answer_conditioned,1.0,1.0,1.0,1.0,1.0
2,3,oracle_corrective,1.0,1.0,1.0,1.0,1.0
3,1,question_only,1.0,1.0,1.0,1.0,1.0
3,1,wrong_answer_conditioned,1.0,1.0,1.0,1.0,1.0
3,1,oracle_corrective,1.0,1.0,1.0,1.0,1.0
3,2,question_only,1.0,1.0,1.0,1.0,1.0
3,2,wrong_answer_conditioned,1.0,1.0,1.0,1.0,1.0
3,2,oracle_corrective,1.0,1.0,1.0,1.0,1.0
3,3,question_only,1.0,1.0,1.0,1.0,1.0
3,3,wrong_answer_conditioned,1.0,1.0,1.0,1.0,1.0
3,3,oracle_corrective,1.0,1.0,1.0,1.0,1.0
4,1,question_only,1.0,1.0,1.0,1.0,1.0
4,1,wrong_answer_conditioned,1.0,1.0,1.0,1.0,1.0
4,1,oracle_corrective,1.0,1.0,1.0,1.0,1.0
4,2,question_only,1.0,1.0,1.0,1.0,1.0
4,2,wrong_answer_conditioned,1.0,1.0,1.0,1.0,1.0
4,2,oracle_corrective,1.0,1.0,1.0,1.0,1.0
4,3,question_only,1.0,1.0,1.0,1.0,1.0
4,3,wrong_answer_conditioned,1.0,1.0,1.0,1.0,1.0
4,3,oracle_corrective,1.0,1.0,1.0,1.0,1.0
5,1,question_only,1.0,1.0,1.0,1.0,1.0
5,1,wrong_answer_conditioned,1.0,1.0,1.0,1.0,1.0
5,1,oracle_corrective,1.0,1.0,1.0,1.0,1.0
5,2,question_only,1.0,1.0,1.0,1.0,1.0
5,2,wrong_answer_conditioned,1.0,1.0,1.0,1.0,1.0
5,2,oracle_corrective,1.0,1.0,1.0,1.0,1.0
5,3,question_only,1.0,1.0,1.0,1.0,1.0
5,3,wrong_answer_conditioned,1.0,1.0,1.0,1.0,1.0
5,3,oracle_corrective,1.0,1.0,1.0,1.0,1.0
6,1,question_only,1.0,1.0,1.0,1.0,1.0
6,1,wrong_answer_conditioned,1.0,1.0,1.0,1.0,1.0
6,1,oracle_corrective,1.0,1.0,1.0,1.0,1.0
6,2,question_only,1.0,1.0,1.0,1.0,1.0
6,2,wrong_answer_conditioned,1.0,1.0,1.0,1.0,1.0
6,2,oracle_corrective,1.0,1.0,1.0,1.0,1.0
6,3,question_only,1.0,1.0,1.0,1.0,1.0
6,3,wrong_answer_conditioned,1.0,1.0,1.0,1.0,1.0
6,3,oracle_corrective,1.0,1.0,1.0,1.0,1.0
7,1,question_only,1.0,1.0,1.0,1.0,1.0
